task,method,seed,n_evals,best_score,best_prompt,run_dir
penguins_in_a_table,textgrad,0,30,0.92,"You are tasked with answering a question based on a penguin data table. Use clear, step-by-step reasoning to interpret the data and eliminate incorrect options. Once you have determined the correct answer, respond with just the corresponding letter choice, like (D).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/penguins_in_a_table/textgrad/seed_0
penguins_in_a_table,no_refinement,0,30,0.92,"You are to answer multiple-choice questions based on penguin data in a table format. Use structured reasoning: locate the relevant rows and columns, perform comparisons or calculations if needed, and match your findings to the provided choices. Output only the letter of the correct answer, such as (A).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/penguins_in_a_table/no_refinement/seed_0
penguins_in_a_table,no_bo,0,30,0.74,"Follow a step-by-step approach: first, understand the question, then locate the relevant data in the table, next perform any necessary calculations or comparisons, and finally select the correct answer from the multiple-choice options. Output only the letter corresponding to the correct choice.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/penguins_in_a_table/no_bo/seed_0
penguins_in_a_table,static_features,0,30,0.76,"Analyze the penguin data table and answer the question by reasoning through the attributes. Use clear and logical steps to determine the best answer. Your final response must be only the letter of the correct choice (e.g., E), without any additional text or explanation.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/penguins_in_a_table/static_features/seed_0
penguins_in_a_table,independent_extraction,0,30,0.94,"You are an AI assistant with the ability to reason about structured data. Given a table of penguin attributes and a question with multiple-choice options, you must parse the table and perform logical analysis to select the correct answer. Follow a clear, structured reasoning process: identify relevant data, apply logical deduction, and choose the correct answer.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/penguins_in_a_table/independent_extraction/seed_0
snarks,reelicit,0,30,0.58,"Analyze the two provided statements carefully. Look for cues such as exaggerated praise, irony, or contradiction in tone. Consider tone, pragmatics, and figurative language to determine which one is sarcastic. Respond with just the corresponding letter: (A) or (B).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/snarks/reelicit/seed_0
snarks,ape,0,30,0.64,"Your role is to identify sarcasm in language. When presented with two nearly identical statements, use your understanding of tone, context, and implied meaning to determine which one is sarcastic. Give your answer by selecting (A) or (B) only, without any explanation.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/snarks/ape/seed_0
snarks,opro,0,30,0.62,"Compare the two statements closely, looking for signs of sarcasm such as ironic phrasing, exaggerated praise, or a tone that contradicts the literal message. Identify the sarcastic one and respond with (A) or (B).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/snarks/opro/seed_0
snarks,promptbreeder,0,30,0.6,"Carefully compare the two statements. Look for clues in word choice, punctuation, and implied meaning that suggest sarcasm. Sarcasm often uses irony or exaggerated praise to convey the opposite of the literal meaning. Choose the sarcastic statement by answering with (A) or (B).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/snarks/promptbreeder/seed_0
snarks,textgrad,0,30,0.62,"You are an AI assistant trained to detect sarcasm. When presented with two nearly identical statements, your task is to determine which one contains sarcasm. Use your understanding of pragmatics, context, and the distinction between literal and figurative language. Be precise in your analysis. Respond with only the letter of the sarcastic statement (A or B).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/snarks/textgrad/seed_0
snarks,no_refinement,0,30,0.6,"Carefully compare the two statements. Look for clues in word choice, punctuation, and implied meaning that suggest sarcasm. Sarcasm often uses irony or exaggerated praise to express the opposite of what is literally said. Choose the sarcastic statement by answering with (A) or (B).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/snarks/no_refinement/seed_0
snarks,no_bo,0,30,0.62,"Carefully compare the two statements. Look for clues such as exaggerated praise, ironic phrasing, or contradictions in tone. Your goal is to identify the sarcastic one. Provide your answer as a single letter: (A) or (B).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/snarks/no_bo/seed_0
snarks,static_features,0,30,0.62,"Analyze the two given statements carefully. Identify which one uses sarcasm by looking for contradictions in tone, exaggerated praise, or irony. Provide your answer by selecting either (A) or (B), without any additional explanation.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/snarks/static_features/seed_0
snarks,independent_extraction,0,30,0.66,Analyze the two statements carefully. Identify subtle differences in tone and implied meaning that may indicate sarcasm. Choose the statement that is most likely to be sarcastic. Respond with (A) or (B).,runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/snarks/independent_extraction/seed_0
tracking_shuffled_objects,reelicit,0,30,0.92,"Be concise and logical. Analyze the sequence of swaps and keep a running tally of object ownership. Once all exchanges are processed, match the final positions of the objects to the correct answer choice. Output only the letter corresponding to your answer, like (D).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/tracking_shuffled_objects/reelicit/seed_0
tracking_shuffled_objects,ape,0,30,0.86,"Use a structured approach: list each person and the objects they have at every step of the exchange process. After processing all swaps, determine the final object distribution and select the correct answer. Provide only the letter of your choice, such as (C).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/tracking_shuffled_objects/ape/seed_0
tracking_shuffled_objects,opro,0,30,0.84,"You are a meticulous tracker of object exchanges. When given a sequence of swaps between people, you will carefully follow each step and determine the final location of each object. Choose the correct answer from the multiple-choice options provided. Answer with only the letter of your choice, such as (A).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/tracking_shuffled_objects/opro/seed_0
tracking_shuffled_objects,promptbreeder,0,30,0.84,"Use a structured approach: list each person and the objects they hold after every exchange. Update this list incrementally as you process each swap. After all swaps are completed, refer to your final list to determine the correct answer. Output only the letter corresponding to the correct choice.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/tracking_shuffled_objects/promptbreeder/seed_0
tracking_shuffled_objects,textgrad,0,30,0.82,"Carefully track each object's movement through every exchange. After each swap, update the object locations in a structured manner. Once all exchanges are processed, determine the final positions and choose the correct answer from the options. Provide your final answer as a single letter in parentheses, e.g., (E).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/tracking_shuffled_objects/textgrad/seed_0
tracking_shuffled_objects,no_refinement,0,30,0.88,"You are a meticulous tracker of object exchanges. For each swap, carefully follow the sequence and update the ownership of objects step by step. After all exchanges are complete, select the correct answer from the multiple-choice options provided. Answer with only the letter of your choice, such as (A).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/tracking_shuffled_objects/no_refinement/seed_0
